"ikey";"Location";"Source";"Dating";"Language";"ID";"uncertain_dating";"DAT_min";"DAT_max"
"PH279326";"Chalcedon";"IK Kalchedon 100";NA;"Greek";"I_201";FALSE;NA;NA
"PH279327";"Chalcedon";"IK Kalchedon 101";NA;"Greek";"I_202";FALSE;NA;NA
"PH279328";"Chalcedon";"IK Kalchedon 102";NA;"Greek";"I_203";FALSE;NA;NA
"PH279330";"Chalcedon";"IK Kalchedon 104";NA;"Greek";"I_204";FALSE;NA;NA
"PH279331";"Chalcedon";"IK Kalchedon 105";NA;"Greek";"I_205";FALSE;NA;NA
"PH279333";"Chalcedon";"IK Kalchedon 107";NA;"Greek";"I_206";FALSE;NA;NA
"PH279334";"Chalcedon";"IK Kalchedon 108";NA;"Greek";"I_207";FALSE;NA;NA
"PH279335";"Chalcedon";"IK Kalchedon 109,1";NA;"Greek";"I_208";FALSE;NA;NA
"PH279336";"Chalcedon";"IK Kalchedon 109,2";NA;"Greek";"I_209";FALSE;NA;NA
"PH279337";"Chalcedon";"IK Kalchedon 109,3";NA;"Greek";"I_210";FALSE;NA;NA
"PH279338";"Chalcedon";"IK Kalchedon 109,4";NA;"Greek";"I_211";FALSE;NA;NA
"PH279339";"Chalcedon";"IK Kalchedon 109,5";NA;"Greek";"I_212";FALSE;NA;NA
"PH279340";"Chalcedon";"IK Kalchedon 109,6";NA;"Greek";"I_213";FALSE;NA;NA
"PH279341";"Chalcedon";"IK Kalchedon 109,7";NA;"Greek";"I_214";FALSE;NA;NA
"PH279342";"Chalcedon";"IK Kalchedon 109,8";NA;"Greek";"I_215";FALSE;NA;NA
"PH279237";"Chalcedon";"IK Kalchedon 11";NA;"Greek";"I_216";FALSE;NA;NA
"PH279343";"Chalcedon";"IK Kalchedon 110,1";NA;"Greek";"I_217";FALSE;NA;NA
"PH279344";"Chalcedon";"IK Kalchedon 110,2";NA;"Greek";"I_218";FALSE;NA;NA
"PH279345";"Chalcedon";"IK Kalchedon 110,3";NA;"Greek";"I_219";FALSE;NA;NA
"PH279346";"Chalcedon";"IK Kalchedon 110,4";NA;"Greek";"I_220";FALSE;NA;NA
"PH279347";"Chalcedon";"IK Kalchedon 110,5";NA;"Greek";"I_221";FALSE;NA;NA
"PH279348";"Chalcedon";"IK Kalchedon 110,6";NA;"Greek";"I_222";FALSE;NA;NA
"PH279349";"Chalcedon";"IK Kalchedon 111";NA;"Greek";"I_223";FALSE;NA;NA
"PH279350";"Chalcedon";"IK Kalchedon 112";NA;"Greek";"I_224";FALSE;NA;NA
"PH279351";"Chalcedon";"IK Kalchedon 114";NA;"Greek";"I_225";FALSE;NA;NA
"PH279353";"Chalcedon";"IK Kalchedon 116";NA;"Greek";"I_226";FALSE;NA;NA
"PH279354";"Chalcedon";"IK Kalchedon 117";NA;"Greek";"I_227";FALSE;NA;NA
"PH279355";"Chalcedon";"IK Kalchedon 118";NA;"Greek";"I_228";FALSE;NA;NA
"PH279356";"Chalcedon";"IK Kalchedon 119";NA;"Greek";"I_229";FALSE;NA;NA
"PH279357";"Chalcedon";"IK Kalchedon 120";NA;"Greek";"I_230";FALSE;NA;NA
"PH279359";"Chalcedon";"IK Kalchedon 122";NA;"Greek";"I_231";FALSE;NA;NA
"PH279360";"Chalcedon";"IK Kalchedon 123";NA;"Greek";"I_232";FALSE;NA;NA
"PH279361";"Chalcedon";"IK Kalchedon 124";NA;"Greek";"I_233";FALSE;NA;NA
"PH279362";"Chalcedon";"IK Kalchedon 125";NA;"Greek";"I_234";FALSE;NA;NA
"PH279243";"Chalcedon";"IK Kalchedon 17";NA;"Greek";"I_235";FALSE;NA;NA
"PH279252";"Chalcedon";"IK Kalchedon 23";NA;"Greek";"I_236";FALSE;NA;NA
"PH279253";"Chalcedon";"IK Kalchedon 24";NA;"Greek";"I_237";FALSE;NA;NA
"PH279254";"Chalcedon";"IK Kalchedon 25";NA;"Greek";"I_238";FALSE;NA;NA
