ikey	Location	Source	Chronological Frame	Language
PH279228	Chalcedon	IK Kalchedon 2	2nd c. BC	Greek
PH279863	Chalcedon	SEG 37: 1036	2nd – 3rd c. AD	Greek
PH279913	Chalcedon	SEG 38: 1274	2nd – 3rd c. AD	Greek
PH279246	Chalcedon	IK Kalchedon 20	293–305 AD	Latin
PH279245	Chalcedon	IK Kalchedon 19	27 BC–14 AD	Greek
PH279329	Chalcedon	IK Kalchedon 103	206 AD	Greek
	Chalcedon	SEG 60: 1335	1st century AD	Greek
PH279238	Chalcedon	IK Kalchedon 12	1st c. BC – 1st c. AD	Greek
PH279884	Chalcedon	SEG 37: 1055	1st c. BC	Greek
PH279828	Chalcedon	SEG 36: 1142	1st c. AD?	Greek
PH279829	Chalcedon	SEG 36: 1143	1st c. AD?	Greek
HD006526	Chalcedon	AE 1986, 0642;                            EpigrAnat 5, 119–120, 48	151–212 AD	Latin
PH279240	Chalcedon	IK Kalchedon 14	1 BC	Greek
PH279326	Chalcedon	IK Kalchedon 100	---	Greek
PH279327	Chalcedon	IK Kalchedon 101	---	Greek
PH279328	Chalcedon	IK Kalchedon 102	---	Greek
PH279330	Chalcedon	IK Kalchedon 104	---	Greek
PH279331	Chalcedon	IK Kalchedon 105	---	Greek
PH279333	Chalcedon	IK Kalchedon 107	---	Greek
PH279334	Chalcedon	IK Kalchedon 108	---	Greek
PH279335	Chalcedon	IK Kalchedon 109,1	---	Greek
PH279336	Chalcedon	IK Kalchedon 109,2	---	Greek
PH279337	Chalcedon	IK Kalchedon 109,3	---	Greek
PH279338	Chalcedon	IK Kalchedon 109,4	---	Greek
PH279339	Chalcedon	IK Kalchedon 109,5	---	Greek
PH279340	Chalcedon	IK Kalchedon 109,6	---	Greek
PH279341	Chalcedon	IK Kalchedon 109,7	---	Greek
PH279342	Chalcedon	IK Kalchedon 109,8	---	Greek
PH279237	Chalcedon	IK Kalchedon 11	---	Greek
PH279343	Chalcedon	IK Kalchedon 110,1	---	Greek
PH279344	Chalcedon	IK Kalchedon 110,2	---	Greek
PH279345	Chalcedon	IK Kalchedon 110,3	---	Greek
PH279346	Chalcedon	IK Kalchedon 110,4	---	Greek
PH279347	Chalcedon	IK Kalchedon 110,5	---	Greek
PH279348	Chalcedon	IK Kalchedon 110,6	---	Greek
PH279349	Chalcedon	IK Kalchedon 111	---	Greek
PH279350	Chalcedon	IK Kalchedon 112	---	Greek
PH279351	Chalcedon	IK Kalchedon 114	---	Greek
PH279353	Chalcedon	IK Kalchedon 116	---	Greek
PH279354	Chalcedon	IK Kalchedon 117	---	Greek
PH279355	Chalcedon	IK Kalchedon 118	---	Greek
PH279356	Chalcedon	IK Kalchedon 119	---	Greek
PH279357	Chalcedon	IK Kalchedon 120	---	Greek
PH279359	Chalcedon	IK Kalchedon 122	---	Greek
PH279360	Chalcedon	IK Kalchedon 123	---	Greek
PH279361	Chalcedon	IK Kalchedon 124	---	Greek
PH279362	Chalcedon	IK Kalchedon 125	---	Greek
PH279243	Chalcedon	IK Kalchedon 17	---	Greek
PH279252	Chalcedon	IK Kalchedon 23	---	Greek
PH279253	Chalcedon	IK Kalchedon 24	---	Greek
PH279254	Chalcedon	IK Kalchedon 25	---	Greek
PH279255	Chalcedon	IK Kalchedon 26	---	Greek
PH279258	Chalcedon	IK Kalchedon 32	---	Greek
PH279259	Chalcedon	IK Kalchedon 33	---	Greek
PH279260	Chalcedon	IK Kalchedon 34	---	Greek
PH279230	Chalcedon	IK Kalchedon 4	---	Greek
PH279268	Chalcedon	IK Kalchedon 42	---	Greek
PH279269	Chalcedon	IK Kalchedon 43	---	Greek
PH279271	Chalcedon	IK Kalchedon 45	---	Greek
PH279272	Chalcedon	IK Kalchedon 46	---	Greek
PH279277	Chalcedon	IK Kalchedon 51	---	Greek
PH279278	Chalcedon	IK Kalchedon 52	---	Greek
PH279279	Chalcedon	IK Kalchedon 53	---	Greek
PH279285	Chalcedon	IK Kalchedon 59	---	Greek
PH279286	Chalcedon	IK Kalchedon 60	---	Greek
PH279287	Chalcedon	IK Kalchedon 61	---	Greek
PH279288	Chalcedon	IK Kalchedon 62	---	Greek
PH279289	Chalcedon	IK Kalchedon 63	---	Greek
PH279290	Chalcedon	IK Kalchedon 64	---	Greek
PH279291	Chalcedon	IK Kalchedon 65	---	Greek
PH279292	Chalcedon	IK Kalchedon 66	---	Greek
PH279293	Chalcedon	IK Kalchedon 67	---	Greek
PH279294	Chalcedon	IK Kalchedon 68	---	Greek
PH279296	Chalcedon	IK Kalchedon 70	---	Greek
PH279297	Chalcedon	IK Kalchedon 71	---	Greek
PH279298	Chalcedon	IK Kalchedon 72	---	Greek
PH279299	Chalcedon	IK Kalchedon 73	---	Greek
PH279300	Chalcedon	IK Kalchedon 74	---	Greek
PH279301	Chalcedon	IK Kalchedon 75	---	Greek
PH279302	Chalcedon	IK Kalchedon 76	---	Greek
PH279303	Chalcedon	IK Kalchedon 77	---	Greek
PH279305	Chalcedon	IK Kalchedon 79	---	Greek
PH279234	Chalcedon	IK Kalchedon 8	---	Greek
PH279306	Chalcedon	IK Kalchedon 80	---	Greek
PH279308	Chalcedon	IK Kalchedon 82	---	Greek
PH279309	Chalcedon	IK Kalchedon 83	---	Greek
PH279310	Chalcedon	IK Kalchedon 84	---	Greek
PH279311	Chalcedon	IK Kalchedon 85	---	Greek
PH279312	Chalcedon	IK Kalchedon 86	---	Greek
PH279313	Chalcedon	IK Kalchedon 87	---	Greek
PH279314	Chalcedon	IK Kalchedon 88	---	Greek
PH279315	Chalcedon	IK Kalchedon 89	---	Greek
PH279235	Chalcedon	IK Kalchedon 9	---	Greek
PH279316	Chalcedon	IK Kalchedon 90	---	Greek
PH279317	Chalcedon	IK Kalchedon 91	---	Greek
PH279318	Chalcedon	IK Kalchedon 92	---	Greek
PH279319	Chalcedon	IK Kalchedon 93	---	Greek
PH279320	Chalcedon	IK Kalchedon 94	---	Greek
PH279321	Chalcedon	IK Kalchedon 95	---	Greek
PH279322	Chalcedon	IK Kalchedon 96	---	Greek
PH279323	Chalcedon	IK Kalchedon 97	---	Greek
PH279324	Chalcedon	IK Kalchedon 98	---	Greek
PH279325	Chalcedon	IK Kalchedon 99	---	Greek
PH279363	Chalcedon	IK Kalchedon p90	---	Latin
